image,caption,labels,scores
dataset_images/Performancias/018 Amanecer de fango /01.jpg,a man pushing a cart down the street,periferia ontológica,{'periferia ontológica': 1}
dataset_images/Performancias/018 Amanecer de fango /03.jpg,a man bending down a wheel,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/018 Amanecer de fango /02.jpg,a man pushing a cart,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/018 Amanecer de fango /06.jpg,a man pushing a large rock on a cart,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/018 Amanecer de fango /05.jpg,a man is bending down a piece of cement,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/018 Amanecer de fango /04.jpg,a man is bending his head into a puddle,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/025 Corrección moral /01.jpg,a man sitting on a bench,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/025 Corrección moral /03.jpg,a man is standing next to another man,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/025 Corrección moral /02.jpg,a man holding a bunch of food,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/025 Corrección moral /04.jpg,a man standing outside,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/023C Caudillo /01.jpg,a man with a bald haircut and a tie,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/023C Caudillo /02.jpg,a man in a black shirt and tie,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/010 Eu-ropa /010.jpg,a man in a white shirt,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/010 Eu-ropa /011.jpg,a man is holding a pair of scissors in his hand,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/010 Eu-ropa /013.jpg,a pile of paper on the floor,arquitectura del desecho; cartografía lacerada,"{'arquitectura del desecho': 1, 'cartografía lacerada': 1}"
dataset_images/Performancias/010 Eu-ropa /012.jpg,a table with a bunch of folded paper on it,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Performancias/010 Eu-ropa /01.jpg,a man in a white shirt,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/010 Eu-ropa /03.jpg,a man is standing on a white surface,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/010 Eu-ropa /02.jpg,a man and woman are standing on a runway,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/010 Eu-ropa /06.jpg,a man is holding a towel over his head,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/010 Eu-ropa /07.jpg,a man standing on a bed,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/010 Eu-ropa /05.jpg,a man and woman are standing in front of a bed,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/010 Eu-ropa /04.jpg,a man in a white suit,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/010 Eu-ropa /09.jpg,a man in a white shirt and pants is holding a piece of paper,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Performancias/010 Eu-ropa /08.jpg,a group of people sitting on a bed,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/07 Baby street /010.jpg,a man sitting on a toilet in a bathroom,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/07 Baby street /01.jpg,a man sitting on a white box,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/07 Baby street /03.jpg,a man sitting on a ledge with a towel,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/07 Baby street /02.jpg,a man sitting on a white box,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/07 Baby street /06.jpg,a man in a blue shirt,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/07 Baby street /07.jpg,a man holding a towel,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/07 Baby street /05.jpg,a man in a blue shirt,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/07 Baby street /04.jpg,a man standing next to a wall with a jacket on it,topografía del grito,{'topografía del grito': 1}
dataset_images/Performancias/07 Baby street /09.jpg,a man is standing next to a man who is holding a piece of paper,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Performancias/07 Baby street /08.jpg,a man is sitting on the ground,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/04 Síntoma /016.jpg,a black and white photo of graffiti on a wall,topografía del grito,{'topografía del grito': 2}
dataset_images/Performancias/04 Síntoma /017.jpg,a woman in a white dress standing in front of a wall,topografía del grito,{'topografía del grito': 1}
dataset_images/Performancias/04 Síntoma /015.jpg,a man is painting on a wall with a brush,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Performancias/04 Síntoma /014.jpg,a man in a white shirt is holding a baseball bat,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/04 Síntoma /010.jpg,a man is writing on a wall with graffiti,topografía del grito,{'topografía del grito': 3}
dataset_images/Performancias/04 Síntoma /011.jpg,a man standing in front of a wall with graffiti,topografía del grito,{'topografía del grito': 2}
dataset_images/Performancias/04 Síntoma /013.jpg,a man painting on a wall with graffiti,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 2, 'altar de la autoflagelación': 1}"
dataset_images/Performancias/04 Síntoma /012.jpg,a man standing in front of a wall with graffiti,topografía del grito,{'topografía del grito': 2}
dataset_images/Performancias/04 Síntoma /01.jpg,a camera is sitting on a tripod in a room,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/04 Síntoma /03.jpg,a bottle of alcohol sitting on a shelf,limbo profanado,{}
dataset_images/Performancias/04 Síntoma /02.jpg,a black and white photo of a room with a wall,anomía habitacional; topografía del grito,"{'anomía habitacional': 1, 'topografía del grito': 1}"
dataset_images/Performancias/04 Síntoma /06.jpg,a woman is painting a wall with a brush,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Performancias/04 Síntoma /07.jpg,a man in a white suit is standing in front of a wall with graffiti,topografía del grito,{'topografía del grito': 2}
dataset_images/Performancias/04 Síntoma /05.jpg,a man is painting a wall with a brush,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Performancias/04 Síntoma /04.jpg,a man is standing in a room with a light on the wall,anomía habitacional; topografía del grito,"{'anomía habitacional': 1, 'topografía del grito': 1}"
dataset_images/Performancias/04 Síntoma /09.jpg,a man standing in front of a wall with graffiti,topografía del grito,{'topografía del grito': 2}
dataset_images/Performancias/04 Síntoma /08.jpg,a man standing in front of a wall with graffiti,topografía del grito,{'topografía del grito': 2}
dataset_images/Performancias/04 Síntoma /018.jpg,a man in a white shirt standing in a room,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/016 Adormidera /01.jpg,a close up of a green leaf,limbo profanado,{}
dataset_images/Performancias/016 Adormidera /03.jpg,a man is holding a small plant in his hand,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/016 Adormidera /02.jpg,a hand holding a branch of a tree,limbo profanado,{}
dataset_images/Performancias/016 Adormidera /04.jpg,a small branch with leaves on it,limbo profanado,{}
dataset_images/Performancias/021 Bola de mugre /01.jpg,a man holding a handful of grass in his hands,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/021 Bola de mugre /03.jpg,a man standing in a boat on a river,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/021 Bola de mugre /02.jpg,a boat is sitting on the shore of a river,limbo profanado,{}
dataset_images/Performancias/021 Bola de mugre /06.jpg,a man standing on a boat,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/021 Bola de mugre /07.jpg,a man holding a piece of food in his hands,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/021 Bola de mugre /05.jpg,a man standing on a beach next to a boat,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/021 Bola de mugre /04.jpg,a man in a boat,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/06 Bolívar ahora /01.jpg,a man in white pants and a white shirt,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/06 Bolívar ahora /03.jpg,a man in white pants and a white shirt,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/06 Bolívar ahora /02.jpg,a man in white pants and a white shirt,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/06 Bolívar ahora /06.jpg,a person with a knife and a piece of paper,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Performancias/06 Bolívar ahora /07.jpg,a man is laying down on a box,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/06 Bolívar ahora /05.jpg,a man in white shirt and red blood on the floor,mancha moral; evidencia forense; altar de la autoflagelación,"{'mancha moral': 1, 'evidencia forense': 1, 'altar de la autoflagelación': 1}"
dataset_images/Performancias/06 Bolívar ahora /04.jpg,a man standing in a room with a knife,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/06 Bolívar ahora /08.jpg,a man in a white shirt and red shoes,umbral de la carne; cuerpo como arma,{}
dataset_images/Proyectos/01 Brazo/01.jpg,a drawing of a person holding a baby,umbral de la carne; cuerpo como arma,{}
dataset_images/Proyectos/05 Proyecto para cámara neumática/01.jpg,a piece of paper with a grid pattern on it,geometría del exterminio; cartografía lacerada,"{'cartografía lacerada': 1, 'geometría del exterminio': 2}"
dataset_images/Proyectos/02 Estructura/01.jpg,a drawing of a man standing on a ledge,umbral de la carne; cuerpo como arma,{}
dataset_images/Proyectos/06 Situándome/01.jpg,a drawing of a man with a black and white stripe on his shirt,umbral de la carne; cuerpo como arma,{}
dataset_images/Proyectos/04 Nicho/01.jpg,a drawing of a black and white image of a building,limbo profanado,{}
dataset_images/Proyectos/03 Kamentza/01.jpg,a drawing of a man with a knife,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/021 Limpiandome los dedos/01.jpg,a black and white painting on a white wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/017 Silvia/01.jpg,a drawing of a woman in a dress,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/044 Tejedora con gasa /01.jpg,a black and white painting on a wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/045 Mapuches/01.jpg,a black and white painting with the word nacho written on it,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/07 Coche de bebe /Coche de bebé.jpg,a piece of paper with a black and white drawing on it,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/016 Niña San Agustín /01.jpg,a drawing of a man ' s face on a piece of paper,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/026 Pañuelo blanco y negro/01.jpg,a white cloth with black pieces of paper on it,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/11 Awá/01.jpg,three pieces of paper with black ink on them,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/039 El Ártico/01.jpg,an old map of the arctic region,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/043 Cama/01.jpg,a black and white painting of a chair,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/020 Mapas rotos /01.JPG,a white painting on a wall with a wooden frame,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/020 Mapas rotos /03.JPG,a piece of paper with a black and white pattern,cartografía lacerada; geometría del exterminio,"{'cartografía lacerada': 1, 'geometría del exterminio': 1}"
dataset_images/Dibujos/020 Mapas rotos /02.JPG,a white painting on a wall with a wooden frame,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/020 Mapas rotos /06.JPG,a white piece of paper with a torn piece of paper,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/020 Mapas rotos /07.JPG,a close up of a piece of paper with a hole in it,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/020 Mapas rotos /05.JPG,a piece of paper with black and white paint,cartografía lacerada; altar de la autoflagelación,"{'cartografía lacerada': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/020 Mapas rotos /04.JPG,a white wall with peeling and peeling,topografía del grito,{'topografía del grito': 1}
dataset_images/Dibujos/020 Mapas rotos /08.JPG,a close up of a white wall with a black and white pattern,topografía del grito; geometría del exterminio,"{'topografía del grito': 1, 'geometría del exterminio': 1}"
dataset_images/Dibujos/09 Dibujos privados/01.jpg,two black and white photographs of a pattern,geometría del exterminio,{'geometría del exterminio': 1}
dataset_images/Dibujos/09 Dibujos privados/03.jpg,a black and white painting on a white wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/09 Dibujos privados/02.jpg,a black and white drawing of a bunch of pine trees,limbo profanado,{}
dataset_images/Dibujos/042 Pintura robada /01.jpg,a piece of art that is on a wall,topografía del grito,{'topografía del grito': 1}
dataset_images/Dibujos/042 Pintura robada /03.jpg,a room with a wall with a painting on it,anomía habitacional; topografía del grito; altar de la autoflagelación,"{'anomía habitacional': 1, 'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/042 Pintura robada /02.jpg,a wall with a large piece of writing on it,topografía del grito,{'topografía del grito': 2}
dataset_images/Dibujos/042 Pintura robada /04.jpg,a painting of a bird nest on a blue wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/04 Teresa Gómez/01.jpg,a red painting on a white wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/04 Teresa Gómez/03.jpg,a red ink spied on a white paper,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/04 Teresa Gómez/02.jpg,a red painting on a white wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/023 Anártica/01.jpg,a piece of cardboard with a map on it,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/08 Bebé/bebé-02.jpg,a black and white photo of a head with a black and white image of a man ' s face,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/022 Lideresa social/01.jpg,a drawing of a woman ' s face with black paint,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/022 Lideresa social/02.jpg,a black and white drawing of a woman ' s face,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/018 El Tablón mujer /010.jpg,a man looking at a large piece of art,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/018 El Tablón mujer /011.jpg,a man is drawing a picture on a piece of paper,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/018 El Tablón mujer /013.jpg,a man is drawing on a large piece of paper,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/018 El Tablón mujer /012.jpg,a man is painting a large piece of art,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/018 El Tablón mujer /01.jpg,a black and white drawing on a white sheet,limbo profanado,{}
dataset_images/Dibujos/018 El Tablón mujer /03.jpg,a black and white drawing on a wall,topografía del grito,{'topografía del grito': 1}
dataset_images/Dibujos/018 El Tablón mujer /02.jpg,a black and white drawing of a face,limbo profanado,{}
dataset_images/Dibujos/018 El Tablón mujer /06.jpg,a man is painting a picture on a white shirt,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/018 El Tablón mujer /07.jpg,a man is painting a shirt with a black and white image,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/018 El Tablón mujer /05.jpg,a man is painting a large piece of art,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/018 El Tablón mujer /04.jpg,a man is painting a large white piece,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/018 El Tablón mujer /09.jpg,a man is painting on a large piece of paper,cartografía lacerada; altar de la autoflagelación,"{'cartografía lacerada': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/018 El Tablón mujer /08.jpg,a man is painting a large face on a shirt,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/052 Niño rojo /01.jpg,a painting of a person in a red coat,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/052 Niño rojo /03.jpg,a painting with a red figure on it,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/052 Niño rojo /02.jpg,a drawing of a man with a red paint on it,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/010 Dibujo sucio /010.jpg,a drawing of a black and white painting,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/010 Dibujo sucio /01.jpg,two paintings of brown and black ink on paper,cartografía lacerada; altar de la autoflagelación,"{'cartografía lacerada': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/010 Dibujo sucio /03.jpg,a painting on a wall in a room,anomía habitacional; topografía del grito; altar de la autoflagelación,"{'anomía habitacional': 1, 'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/010 Dibujo sucio /02.jpg,a wall with four paintings on it,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/010 Dibujo sucio /06.jpg,a room with two paintings on the wall,anomía habitacional; topografía del grito; altar de la autoflagelación,"{'anomía habitacional': 1, 'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/010 Dibujo sucio /07.jpg,a white wall with a sign that says ' los ',topografía del grito,{'topografía del grito': 1}
dataset_images/Dibujos/010 Dibujo sucio /05.jpg,a painting with brown paint on a white wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/010 Dibujo sucio /04.jpg,a painting on a wall with a white background,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/010 Dibujo sucio /09.jpg,a drawing of a piece of art on a wall,topografía del grito,{'topografía del grito': 1}
dataset_images/Dibujos/010 Dibujo sucio /08.jpg,two paintings of black and white paint on a wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/048 Nukak /01.jpg,a map with a handwritten name on it,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/040 Mexico y America Central/01.jpg,a piece of paper with a piece of paper on it,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/027 NY Times /01.jpg,a pile of newspaper,arquitectura del desecho; cartografía lacerada,"{'arquitectura del desecho': 1, 'cartografía lacerada': 1}"
dataset_images/Dibujos/027 NY Times /02.jpg,a pile of old newspaper pieces on a white surface,arquitectura del desecho; cartografía lacerada,"{'arquitectura del desecho': 1, 'cartografía lacerada': 1}"
dataset_images/Dibujos/053 Mujer Sinú /01.jpg,a black and white photo of a man in a suit,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/049 Awa japón /01.jpg,a map of japan with a picture of the island,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/054 Hombre Sinú /01.jpg,a drawing of a woman in a black and white photo,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/01 Tolima/01.jpg,a map of the united states,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/024 El cuarto en astillas/01.jpg,a black and white drawing on a white paper,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/013 Cepíllo /01.jpg,a black and white drawing of a plant,limbo profanado,{}
dataset_images/Dibujos/055 Niña Sinú /01.jpg,a black and white drawing of a man,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/029 Europa/01.jpg,a book with a painting on it,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/051 Niño ancestral /IMG_3455.jpg,a black and white painting on a white wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/06 Mugre recogido ssobre cartón/010.jpg,a brown and white painting on a white wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/06 Mugre recogido ssobre cartón/011.jpg,a brown and black painting on a white wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/06 Mugre recogido ssobre cartón/06.jpg,a black and white painting with a black and white background,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/06 Mugre recogido ssobre cartón/07.jpg,a black and white photo of a man in a suit,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/06 Mugre recogido ssobre cartón/05.jpg,a black and white photo of a tree,limbo profanado,{}
dataset_images/Dibujos/06 Mugre recogido ssobre cartón/09.jpg,a black and white painting with a black circle,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/06 Mugre recogido ssobre cartón/08.jpg,a drawing of a square shape with a black background,limbo profanado,{}
dataset_images/Dibujos/025 Cuarto imantado /01.jpg,a painting with black and white paint on it,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/015 El niño de la casa/01.jpg,a piece of paper with a drawing of a face,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/01 Ártico /01.jpg,an old map of the arctic region,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/012 Los zapaticos de Ana maría /01.jpg,a black and white painting on a white background,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/019 El Tablón en rojo 2/01.jpg,a man is putting blood on a white shirt,mancha moral; evidencia forense; altar de la autoflagelación,"{'mancha moral': 1, 'evidencia forense': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/019 El Tablón en rojo 2/03.jpg,a man is painting a red and white shirt,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/019 El Tablón en rojo 2/02.jpg,a red and white tie dye on a white shirt,limbo profanado,{}
dataset_images/Dibujos/046 Siona/01.jpg,a map of italy with a handwritten name,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/056 Antártica/antártica-2.jpg,a piece of cardboard with a map on it,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/048 mapa borrado con gasa /IMG_3373.jpg,a book with a painting on it,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/03 Sueño plata /01.jpg,a piece of paper with a drawing of a tree,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/050 Chibcha/01.jpg,a piece of art with a white frame,limbo profanado,{}
dataset_images/Dibujos/041 Pana - Proyecto costal/01.jpg,a drawing of a man with his legs exposed,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/041 Pana - Proyecto costal/02.jpg,a black and white photo of a horse,limbo profanado,{}
dataset_images/Dibujos/014 Peineta /01.jpg,a black brush with a white background,limbo profanado,{}
dataset_images/Dibujos/028 Le Figaro - Le Monde/01.jpg,two pieces of paper with different types of paper,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/02 Calima /01.jpg,a black and white drawing of a man ' s face,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/02 Calima /03.jpg,a black and white painting of a woman,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/02 Calima /02.jpg,a black and white painting of a woman,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/02 Calima /04.jpg,a black and white drawing of a woman ' s face,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/05 Retrato anónimo/01.jpg,a drawing of a man ' s face with a beard,umbral de la carne; cuerpo como arma,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/07 A manera de emergencia /01.jpg",a glass aquarium with a bunch of fish in it,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/07 A manera de emergencia /03.jpg",a broken glass vase sitting on a white shelf,fe lacerada,{'fe lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/07 A manera de emergencia /02.jpg",a sculpture of a vase with a painting on it,altar de la autoflagelación,{'altar de la autoflagelación': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/011 Fragmentos de mugre /mugre_1987.jpg",four black and white cow spots on a white background,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/042 Puñal pañal /01.jpg",a painting of a large explosion of paint,altar de la autoflagelación,{'altar de la autoflagelación': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/03 Cauca/01.jpg",a piece of paper with a piece of paper on it,cartografía lacerada,{'cartografía lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/014 Dibujos privados /img910.jpg",a black and white drawing of a bunch of pine trees,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/014 Dibujos privados /img911.jpg",a black and white painting on a white wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/014 Dibujos privados /dibujos completos.jpg",two black and white photographs of a pattern,geometría del exterminio,{'geometría del exterminio': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/010 caribe /01.jpg",a vase with a broken glass vase on a table,fe lacerada,{'fe lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/015 Molotov /01.jpg",a brown piece of cardboard with a white outline of a jar,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/038 Puñado de tierra/01.jpg",a wall with bags hanging on it,topografía del grito,{'topografía del grito': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/038 Puñado de tierra/02.jpeg",a room with a wall of white paper on the walls,anomía habitacional; topografía del grito; cartografía lacerada,"{'anomía habitacional': 1, 'topografía del grito': 1, 'cartografía lacerada': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/02 Extensión /01.jpg",a room with a wall of white and brown paper,anomía habitacional; topografía del grito; cartografía lacerada,"{'anomía habitacional': 1, 'topografía del grito': 1, 'cartografía lacerada': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/02 Extensión /03.jpg",a large piece of wood is on display in a room,anomía habitacional; inocencia profanada,"{'anomía habitacional': 1, 'inocencia profanada': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/02 Extensión /02.jpg",a brown blanket hanging on a wall,topografía del grito,{'topografía del grito': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/029 Lección moral /01.jpg",a large black and white painting on a brick wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/029 Lección moral /02.jpg",a black and white photo of a tree,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/021 Dibujo textual /01.jpg",a red book cover with the words ' oe oe sese me y and,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/04 Objeto ofensiva /01.jpg",a drawing of a bottle with a black substance,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/04 Objeto ofensiva /02.jpg",a piece of paper with a black writing on it,topografía del grito; cartografía lacerada,"{'topografía del grito': 1, 'cartografía lacerada': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/012 Alcalde popular /01.jpg",a group of people hanging on a wall,topografía del grito,{'topografía del grito': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/012 Alcalde popular /03.jpg",a wall with a bunch of different objects on it,topografía del grito,{'topografía del grito': 1}
