id,obra,año,descripcion_01,descripcion_02,objetos
38,Caudillo (Con bebé),2000 - 2007,"Conspicuo, envuelto en ropa negra y como fondo una piscina de formol atestada de cadáveres humanos, posé con el cadáver de una bebé colgado a mi cuello con ademán de una deidad contemporánea. La bebé murió junto a su madre por pobreza extrema.","hombre arafed en camisa negra sosteniendo una estatua de bebé
hombre arafed en una camisa negra y corbata sosteniendo a un bebé","['cabeza', 'cuerpo de pie', 'persona', 'cuerpo transportado', 'cuerpo humano']
['cuerpo de pie', 'cuerpo transportado', 'cuerpo arrastrado', 'cuerpo humano', 'hombre']"
39,Ataúd celeste,1980,Acrílico y esmalte sobre pañal suspendido con ganchos de metal a una cuerda. 72 cm x 63 cm.,un primer plano de un pedazo de tela colgando de una línea de ropa,"['tela', 'materia orgánica', 'tejido', 'cuerpo herido', 'pared']"
40,Extensión,1980 - 1981,"Tela de género, (sábana usada), teñida de manera obsesiva en café colombiano y soportada de una sonda plástica repleta de orines míos. La tela está unida a la sonda por medio de ganchos metálicos (nodrizas). 180 cm x 450 cm x 20 cm.","hay un gran paño marrón colgando en la pared en una habitación
hay un gran paño marrón colgando en la pared en una habitación
hay una manta marrón colgando en una línea de ropa","['espacio interior', 'habitación vacía', 'tejido', 'cuerpo herido', 'habitación']
['materia orgánica', 'cuerpo herido', 'tejido', 'tela', 'espacio interior']
['tela', 'tejido', 'pared', 'cuerpo arrastrado', 'cuerpo envuelto']"
41,Pañuelo de Anacleto,1983,"Fotocopia sobre pañuelo de mi papá quien fue desplazado en 1960 de su finca en la vereda Pedro Sanchez, norte del Valle del Cauca (Colombia).",un primer plano de un mapa sobre un paño de mesa,"['tela', 'tejido', 'papel', 'piso', 'pared']"
42,Bodegón con curitas,1984,"Objetos metálicos encontrados en una masacre ocurrida en el norte del departamento del Cauca, Colombia. Curados con venditas autoadhesivas. Exhibición: En orden de aparición. Real Academia de Bellas Artes de Madrid, España 2019.",hay una vitrina con una pintura y un tazón en ella,"['espacio interior', 'cuerpo herido', 'habitación', 'cuerpo arrastrado', 'grupo de personas']"
43,Objeto de cura,1984,Mapa de Centroamérica National Geographic y vendas autoadhesivas.,mapa arafed de América Central con un mapa del país,"['piso', 'tela', 'pared', 'mancha de sangre', 'papel']"
44,Cauca,1984 - 1985,Heliografía y tela usada,hay un pedazo de tela colgando en un perchero,"['tela', 'tejido', 'cuerpo herido', 'cuerpo envuelto', 'pared']"
45,Objeto de ofensiva,1984 - 1985,"Dibujo de una molotov automática, ruso-española rediseñada en Colombia, hecho a escala sobre papel carta con cabello del cadáver de un preso político anónimo, enviado por correo aéreo nacional y a domicilio a galeristas, coleccionistas de arte, críticos de arte y artistas. Una versión macro fue exhibida en Cien Años de Arte Colombiano, organizada por el Museo de Arte Moderno de Bogotá en 1985-1986. Otra versión titulada Objetos de Ofensiva fue exhibida en el Centro de Arte y Comunicación CAYC, Buenos Aires, Argentina, 1986. También estuvo en las Retrospectivas 1981- 2000 del Museo de Arte Moderno la Tertulia de Cali y el Museo Ex-teresa Arte Actual de México D.F., 2002, 1981-2006, en el Museo Jacobo Borges de Caracas en 2006 y en Cantos, Cuentos Colombianos. Casa Daros. Rio de Janeiro en 2013.","arafed imagen de una bomba sobre un pedazo de papel
arafed pedazo de papel con una imagen en blanco y negro de un hombre","['papel', 'cuerpo herido', 'cuerpo arrastrado', 'tela', 'herida']
['papel', 'tela', 'cuerpo herido', 'cuerpo lesionado', 'materia orgánica']"
46,Molotov,1984 - 1985,Grafito y gasa sobre cartón. Exhibida en Cien Años de Arte Colombiano. MAMBO 240 cm x 120 cm.,hay una imagen de un cartón marrón con una bomba en él,"['cuerpo de pie', 'cuerpo transportado', 'espacio interior', 'piso', 'pared']"
47,Children´s room,1985 - 1986,"Instalación hecha con alambre de púas, algodón, madera, cuero, caucho y acrílico.","hay una cuchara roja con un mango rojo en una mesa blanca
hay un pequeño caballo de juguete que se pega en la esquina de la pared
hay una habitación con un piso blanco y una pared blanca con varios objetos en ella
hay un objeto rosa con un pequeño cangrejo en él
hay un marco rosa con alambre rosa en él","['pared', 'cuerpo arrastrado', 'cuerpo herido', 'tejido', 'sangrado del cuerpo']
['cabeza', 'cuerpo herido', 'cuerpo arrastrado', 'cuerpo abandonado', 'cuerpo abandonado']
['espacio interior', 'habitación vacía', 'habitación', 'tejido', 'plástico']
['papel', 'cuerpo arrastrado', 'pared', 'cuerpo envuelto', 'plástico']
['pared', 'tejido', 'cuerpo arrastrado', 'tela', 'papel']"
48,Diana,1986 - 1986,Dibujo hecho con los pies (bota militar) sobre papel y objetos adosados.,hay una pintura en blanco y negro en una pared con tijeras de color rosa,"['materia orgánica', 'tejido', 'tela', 'herida', 'cuerpo arrastrado']"
49,A manera de emergencia,1985,"Objeto construido con desechos de atentado terrorista, recogidos en el centro de Cali.","hay un jarrón de vidrio con palos y un pájaro en él
hay una escultura de cristal con palos que sobresalen de ella
hay una escultura de cristal en un soporte de madera con una tarjeta","['pared', 'espacio urbano', 'lugar abandonado', 'plástico', 'materia orgánica']
['materia orgánica', 'cuerpo herido', 'pared', 'plástico', 'cuerpo arrastrado']
['pared', 'materia orgánica', 'cuerpo herido', 'espacio urbano', 'cuerpo arrastrado']"
50,Puñal,1987 - 1988,"Cuadro con la imagen de un santo, robado a mi papá, atacado a puñal. 59,5 cm x 44 cm x 4,5 cm. Cartón atacado con puñal. 100 cm x 70 cm","hay una sombra de una persona en una pared junto a una imagen
hay un bate de cuchillo en una caja clara con una tarjeta
hay una imagen de una imagen de un árbol
madera arafeada con muchos agujeros y arañazos en ella
hay una imagen de un cuadro de una pintura marrón y oro","['espacio interior', 'pared', 'cuerpo herido', 'papel', 'piso']
['cuerpo herido', 'cuerpo arrastrado', 'cuerpo acostado', 'tejido', 'cuerpo lesionado']
['pared', 'materia orgánica', 'espacio interior', 'tejido', 'interacción']
['tela', 'tejido', 'materia orgánica', 'piso', 'mancha']
['cuerpo herido', 'tela', 'piso', 'pared', 'materia orgánica']"
51,El valor moral del mugre,1989,"Oxido, metal, huesos y espejo. 41 cm x 27 cm x 14 cm.",hay un tazón con astillas en una caja,"['cuerpo arrastrado', 'cuerpo herido', 'cuerpo humano', 'cadáver', 'cuerpo lesionado']"
52,Casita de astillas,1989,Astillas de hueso humano y adhesivo,hay una pequeña casa hecha de astillas en una mesa,"['cuerpo arrastrado', 'cuerpo sentado', 'cuerpo herido', 'cuerpo de pie', 'cabeza']"
53,Caribe,1989 - 1992,Objeto construido con desechos de atentado terrorista y jarra.,hay un jarrón de vidrio roto sentado sobre una mesa,"['pared', 'plástico', 'líquido', 'cuerpo herido', 'tejido']"
54,Tete,1990,"Frottage hecho con grafito sobre un pañal directamente en donde duermen los niños de la calle en Cali, Colombia. 77 cm x 47 cm.","un primer plano de una imagen en blanco y negro de un jarrón
hay un dibujo de un jarrón con una flor en él","['cuerpo herido', 'herida', 'tela', 'cuerpo lesionado', 'cuerpo arrastrado']
['cuerpo herido', 'herida', 'cuerpo arrastrado', 'cuerpo humano', 'mano']"
55,Alcalde popular,1991,"Instalación. Cuatro o cinco piezas hechas en metal, cuero, caucho y algodón encontradas, hechas y exhibidas en la calle.","varios pares de zapatos colgados en la pared en la habitación
hay un poste con un montón de zapatos en él
hay muchos pares de zapatos colgados en un poste
hay cinco pares de zapatos colgados en una pared con un mango rojo
hay un poste con un montón de zapatos en él
hay muchos pares de zapatos colgados en un poste
hay muchos pares de zapatos colgados en un poste","['pared', 'grupo de personas', 'tejido', 'cuerpo transportado', 'hombre']
['cuerpo transportado', 'cuerpo arrastrado', 'cuerpo herido', 'cuerpo de pie', 'pared']
['pared', 'tejido', 'persona', 'cuerpo humano', 'cuerpo arrastrado']
['pared', 'cuerpo herido', 'espacio interior', 'tejido', 'grupo de personas']
['pared', 'cuerpo arrastrado', 'grupo de personas', 'cuerpo transportado', 'habitación']
['pared', 'cuerpo transportado', 'pies', 'espacio interior', 'persona']
['pared', 'cuerpo herido', 'cuerpo arrastrado', 'pies', 'cuerpo transportado']"
56,Arru – rrú,1991 - 1995,"Instalación hecha con metal, papel madera, caucho, humo, escayola, acrílico, algodón y mugre.",hay una habitación sucia con un carro y un cubo de basura,"['cuerpo herido', 'mancha de sangre', 'habitación vacía', 'cuerpo abandonado', 'cuerpo abandonado']"
57,"Puñal, pañal",1996 - 2000,"Dibujo hecho a puñal sobre una de las paredes de la casa de mis padres (Q.E.P.D.), Villa Colombia (Cali). Dimensiones: 340 cm x 240 cm x 2.5 cm",pintura de un hombre montando un caballo con una gran cantidad de pintura en él,"['materia orgánica', 'cuerpo lesionado', 'herida', 'cuerpo herido', 'piso']"
58,Ana María,1984 - 2000,Vendas autoadhesivas y zapaticos de niña encontrados en lo que quedó de una masacre al norte del departamento del Cauca en Colombia.,hay un par de zapatos que están hechos de arcilla,"['cuerpo herido', 'cuerpo lesionado', 'mano', 'cuerpo arrastrado', 'manos']"
59,Villa pum-pum,1997,"Instalación hecha con cúmulos de hojas de higuerilla, recogidas en lugares marginales de Caracas, Venezuela",hay muchas hierbas colgando en la pared en una habitación,"['pared', 'materia orgánica', 'espacio interior', 'cuerpo arrastrado', 'espacio urbano']"
60,Oro,2012,Virutas de hueso humano sobre botas militares,hay un par de zapatos que están en una mesa,"['suciedad', 'barro', 'pies', 'materia orgánica', 'piso']"
61,Payé (El coche de Tomás),2016,Coche para bebé curado con venditas autoadhesivas.,"hay una escultura de un cochecito de bebé de madera
hay una silla de bebé hecha de madera con un asiento en ella","['cuerpo arrastrado', 'cuerpo transportado', 'cuerpo herido', 'espacio urbano', 'cuerpo sentado']
['tejido', 'tela', 'cuerpo arrastrado', 'cuerpo envuelto', 'espacio interior']"
62,Pijao (Maloca),2013,Maloca hecha con lodo y basura anudada con metal,hay una pequeña casa hecha de un pedazo de cartón,"['suciedad', 'barro', 'papel', 'espacio urbano', 'materia orgánica']"
63,Banderas Sucias. (Versión Bogotá).,2004 - 2015,"Papeles muy sucios recogidos de lugares marginales de Jamundí, tratados como banderas y colgados de cuerdas de acero con ganchitos metálicos.","pared arafed de ropa vieja colgando en una pared en una habitación
hay muchos pedazos de papel colgando del techo","['tejido', 'tela', 'espacio interior', 'pared', 'plástico']
['papel', 'pared', 'espacio interior', 'cuerpo herido', 'espacio público']"
64,Emberá - Chamí,2008,"Astillas de hueso humano, botas pantaneras Venus y bombillo de poco voltaje.","hay dos pares de botas negras con picos en ellas
hay una pequeña escultura en una habitación con una luz que brilla sobre ella
hay una pequeña pantalla de artículos en una caja de vidrio","['cuerpo arrastrado', 'pared', 'cuerpo de pie', 'materia orgánica', 'cuerpo transportado']
['espacio interior', 'habitación vacía', 'habitación', 'cuerpo de pie', 'espacio urbano']
['espacio interior', 'cuerpo de pie', 'cuerpo herido', 'pared', 'cuerpo humano']"
65,Inhumano,2008,"Proyecto de excavación para realizarse contiguo al Museo de Arte Moderno. Dimensiones: 3x3x3 ms. Los precedentes formales de esta sepultura para personas vivas, están localizados en la relectura y recontextualización de intervenciones terráqueas ancestrales muy colombianas como Tierradentro y San Agustín bajo otras condiciones socioeconómicas políticas y culturales. También el proyecto cámara neumática especie de un gran pulmón subterráneo alimentado con aire desde el exterior a través de mangueras y que fue exhibido en 1981 durante el Salón Atenas en el Museo Nacional de Bogotá. En la construcción de esta escultura es muy importante el trabajo voluntario de quienes la cavan, exhumando de las entrañas de la tierra y con manos de seda, una cama - tumba, la mesa – cubo, la silla y la cloaca, señalando con ello una práctica de sepultura familiar ritual no forzada, utilizada en muchas culturas precolombinas. Inhumano es un pequeño, tierno, esencial y marginal infierno con las mínimas cosas, hecho de material efímero y en donde toda pertenencia esta disuelta en el tiempo de antemano. La cama - tumba, la mesa – cubo, la silla y la cloaca brotan de una tierra deleznable y ubérrima. El tronco de madera, instalado en una de las esquinas con muescas o estribos tallados, funciona como conexión y elemento de descenso para el público que lo utilizará descalzándose como condición.","zona de arafed con un bloque de piedra y un pequeño pedazo de ladrillo
zona arafeada con un muro de piedra y un muro de ladrillo
Hay un hombre tirado en el suelo con un bate de béisbol.
dos hombres están trabajando en una trinchera con una pala y una pala
Hay dos hombres trabajando en una trinchera con palas
hay una gran roca sentada en medio de un campo de tierra
hay dos bancos de piedra en una zona de suciedad con una pared
hay dos bancos de piedra en medio de una zona de suciedad
dos hombres están de pie en una trinchera con un tronco
bocetos de un árbol y una casa sobre un pedazo de papel
hay una imagen de un agujero cuadrado con un pequeño cuadrado en él
hay una cerca que está al lado de un árbol en un parque
hay una cometa que está volando en el aire en la hierba
dibujo del ciervo con la rama en la boca
dibujo de la casa con la escalera y la ventana con el alféizar de la ventana
Hay una excavadora cavando un agujero en el suelo.
tres hombres están trabajando en un árbol en un campo
zona de arafed con un agujero en el suelo con un bloque de ladrillos","['pared', 'piso', 'cuerpo en el suelo', 'tierra', 'espacio interior']
['pared', 'piso', 'cuerpo en el suelo', 'cuerpo de pie', 'tierra']
['cuerpo en el suelo', 'cuerpo acostado', 'cadáver', 'cadáver', 'cuerpo abandonado']
['grupo de personas', 'materia orgánica', 'pared', 'cuerpo en el suelo', 'interacción']
['materia orgánica', 'pared', 'tierra', 'barro', 'cuerpo en el suelo']
['pared', 'barro', 'materia orgánica', 'suciedad', 'cuerpo arrastrado']
['pared', 'barro', 'tierra', 'suciedad', 'materia orgánica']
['pared', 'piso', 'espacio interior', 'tierra', 'barro']
['materia orgánica', 'pared', 'cuerpo arrastrado', 'cuerpo herido', 'tierra']
['papel', 'espacio público', 'espacio interior', 'interacción', 'cuerpo de pie']
['pared', 'piso', 'espacio interior', 'tierra', 'espacio público']
['espacio público', 'espacio urbano', 'tierra', 'calle', 'pared']
['tierra', 'pared', 'espacio público', 'materia orgánica', 'cuerpo en el suelo']
['cuerpo arrastrado', 'cuerpo de pie', 'cuerpo humano', 'cuerpo inmóvil', 'cuerpo transportado']
['cuerpo de pie', 'cuerpo arrastrado', 'papel', 'pared', 'tela']
['materia orgánica', 'tierra', 'suciedad', 'pared', 'espacio público']
['tierra', 'materia orgánica', 'barro', 'cuerpo lesionado', 'suciedad']
['tierra', 'pared', 'cuerpo en el suelo', 'materia orgánica', 'piso']"
66,Dibujo Textual,2023,Impresión digital en plastilona instalada en la fachada del MAMBO. 16 metros x 5 metros. Apróx.,hay una portada de libro rojo con un título blanco en ella,"['papel', 'pared', 'piso', 'habitación', 'persona']"
67,El niño de la casa,2020,"Impresión múltiple, Diario El Tiempo","foto arafed de un joven de pie en un campo
dibujo de un niño en una corbata y camisa de pie en un campo
hay un dibujo blanco y negro de un hombre con corbata","['cuerpo de pie', 'tela', 'cuerpo transportado', 'cuerpo abandonado', 'cuerpo abandonado']
['cuerpo de pie', 'persona', 'cuerpo arrastrado', 'tela', 'cuerpo inmóvil']
['materia orgánica', 'cadáver', 'persona', 'pared', 'sangre']"
68,Chinchorro,2013,Basura anudada con alambre y retazos de tela de algodón en forma de chinchorro levitando e iluminado con bombillo de poco voltaje.,"hay un plato de comida que se ha cocinado en la estufa
hay una hamaca con la sombra de una persona en ella","['cuerpo herido', 'cuerpo lesionado', 'espacio interior', 'cuerpo arrastrado', 'cabeza']
['espacio interior', 'tejido', 'cuerpo arrastrado', 'cuerpo herido', 'tela']"
69,Venus Escolar (Múltiple),2012 - 2014,"Bota cortada con instrumento quirúrgico.
",hay un par de botas negras de lluvia con suelas amarillas,"['barro', 'suciedad', 'pies', 'plástico', 'lesión']"
70,Sudor - Pantalón,2014,Pantalón teñido en lodo y colgado de una astilla de madera empotrada a la pared.,hay una toalla marrón colgando en una línea de ropa,"['tela', 'cuerpo herido', 'cuerpo de pie', 'cuerpo arrastrado', 'tejido']"
71,Colcha de mugre,2015,"Espacio interior de la Galería Casas - Riegner, cubierto con costales plásticos impregnados de sudor y tierra, recogidos en la plaza de mercado Santa Helena de Cali.",hay una habitación con una pared de piedra y un piso,"['espacio interior', 'pared', 'piso', 'espacio público', 'espacio urbano']"
72,Puñado de tierra,2018,"Cuatro paredes de un espacio interior muy iluminado cubierto por 600 bolsas de plástico reciclado, marcadas con lápiz grafito con el nombre y apellido de personas muy pobres de mi familia (especie de árbol, genealógico). Cada una de las bolsas marcadas va colgada de una puntilla y lleva en su interior un puñado de tierra. La cantidad de bolsas varía dependiendo de las dimensiones del lugar.","hay muchas bolsas colgando en la pared de una habitación
hay una habitación con una pared de papeles y una hidrante de fuego rojo","['pared', 'tejido', 'espacio interior', 'tela', 'habitación']
['espacio interior', 'pared', 'habitación', 'habitación vacía', 'tejido']"
73,In memoriam Carlos Rojas González,2015,"Libro atacado con hacha. 31,5 cm x 61,3 cm x 16 cm.","hay una foto de un hombre que está en un libro
hay un libro con una foto de un hombre roto","['papel', 'cuerpo herido', 'basura', 'plástico', 'cuerpo abandonado']
['papel', 'materia orgánica', 'cuerpo herido', 'basura', 'plástico']"
74,Oro y mugre,2016,Esmalte sobre cartón usado como cama por un indigente.,un primer plano de un pedazo de papel con una raya marrón,"['cuerpo herido', 'pared', 'papel', 'tela', 'piso']"
75,Libretas de apuntes,"2016 - 2020
","Libretas atacadas con hacha. 17,5 cm x 12 cm x 6 cm. Esparadrapo sobre papel. 27,5 cm x 21 cm x 3 cm. Lápiz sobre banda de esparadrapo 27,5 cm x 21 cm. Tinta sobre papel 27,5 cm x 21 cm","alguien está dibujando un puño con un lápiz en un cuaderno
hay un libro rojo con un dibujo de un hombre en él
hay un dibujo de una hoja verde en un cuaderno amarillo
dibujo de un hombre con el pelo largo y la barba
hay un dibujo de un pájaro en un libro con un lápiz
hay un pequeño libro con una imagen de una luna dentro
cuatro libros abiertos con un montón de arena en ellos
hay dos cuadernos con un bloc de notas en la parte superior de ellos
hay un libro con un pedazo de papel pegado a él
hay un dibujo de un vestido en un libro con una cuerda roja
un primer plano de un libro con un trozo de cinta adhesiva
Hay un libro con un montón de papeles encima.
hay un dibujo de la camisa de un hombre y herramientas en un libro
hay un libro con una cruz en él y un pedazo de papel pegado a él","['mano', 'manos', 'cuerpo de pie', 'cuerpo herido', 'cuerpo transportado']
['mancha de sangre', 'sangrado del cuerpo', 'cuerpo herido', 'papel', 'tejido']
['interacción', 'tejido', 'tela', 'papel', 'herida']
['persona', 'cuerpo arrastrado', 'cadáver', 'mujer', 'cuerpo inmóvil']
['cuerpo arrastrado', 'cuerpo herido', 'cuerpo transportado', 'interacción', 'tela']
['cuerpo herido', 'herida', 'papel', 'espacio interior', 'materia orgánica']
['papel', 'materia orgánica', 'tejido', 'pared', 'tela']
['papel', 'materia orgánica', 'tejido', 'tela', 'pared']
['papel', 'cuerpo herido', 'tela', 'tejido', 'cuerpo lesionado']
['papel', 'cuerpo de pie', 'cuerpo herido', 'cuerpo arrastrado', 'tela']
['tejido', 'tela', 'papel', 'cuerpo herido', 'cuerpo transportado']
['papel', 'materia orgánica', 'tejido', 'cuerpo herido', 'cuerpo humano']
['tela', 'espacio interior', 'cuerpo transportado', 'interacción', 'cuerpo arrastrado']
['papel', 'cuerpo herido', 'mancha de sangre', 'cuerpo lesionado', 'tela']"
76,Lección moral,2018,Acrílico sobre valla de plastilona. 700 cm x 200 cm. apróx.,"hay una gran pintura en el lado de un edificio
hay una pintura en blanco y negro de una mujer sentada en una silla","['espacio urbano', 'espacio público', 'pared', 'calle', 'tierra']
['tela', 'cuerpo arrastrado', 'cuerpo herido', 'cuerpo sentado', 'cuerpo transportado']"
77,Aprendices de chicos malos,2019,12 camisas para niño señaladas cada una de ellas con diferentes oficios oscuros que en nuestro país producen terror. Escritas con grafito.,"pared arafed con la ropa que cuelga en un perchero en una habitación
camisa arafed con la palabra cesar en ella colgando en un tendedero","['tela', 'pared', 'cuerpo humano', 'habitación vacía', 'mancha de sangre']
['tela', 'plástico', 'tejido', 'mancha de sangre', 'cadáver']"
78,Flor de borrachero,2020,"Acrílico y óleo pastel sobre vidrio. 1,39 m x 86,4 cm x 4 mm.",tinte de corbata púrpura y negro en una bufanda púrpura en una superficie blanca,"['pared', 'tela', 'tejido', 'cuerpo herido', 'cuerpo envuelto']"
79,Clozapina Calima,2020,Empaques de medicina usada y alambre. 27 cm x 27 cm x 4 cm.,hay un collar blanco hecho de tenedores y cucharas en una superficie negra,"['tejido', 'plástico', 'cuerpo envuelto', 'papel', 'tela']"
80,Clozapina Yotoco,2020,"Empaques de medicina usada y alambre. 17 cm x 17 cm x 3,5 cm.",hay un adorno de plata con un diseño circular en él,"['plástico', 'tejido', 'cabeza', 'cuerpo envuelto', 'tela']"
81,Nube gris,2006,"Dibujo - intervención realizada con puñal, motosierra, grafito y oxido de hierro negro sobre una de las paredes del museo Jacobo Borges en Caracas, Venezuela,durante mi Antología,  ""Hojas de vida"", junto a Goya y Revero'n.","hay una gran pintura en la pared de un edificio
hay un dibujo de la cabeza de un gato en una pared
fotografía arafeada de un tronco de árbol con un paraguas roto
hay un dibujo de la cabeza de un gato en una pared
imagen arafed de un paraguas roto con un fondo borroso
hay una gran pintura en la pared de un edificio","['espacio interior', 'cuerpo herido', 'espacio urbano', 'piso', 'pared']
['herida', 'cuerpo arrastrado', 'cuerpo herido', 'cuerpo inmóvil', 'mancha']
['herida', 'cuerpo herido', 'materia orgánica', 'cuerpo arrastrado', 'cuerpo inmóvil']
['herida', 'cuerpo arrastrado', 'cuerpo inmóvil', 'mancha', 'cuerpo herido']
['herida', 'tela', 'cuerpo herido', 'materia orgánica', 'tejido']
['cuerpo herido', 'espacio interior', 'cuerpo arrastrado', 'cuerpo inmóvil', 'pared']"
82,Crisis,1977,"Crayón sobre papel. 62,5 cm x 51,8 cm.",arafed dibujo de un hombre con un sombrero y una corbata,"['cuerpo herido', 'cuerpo arrastrado', 'mujer', 'persona', 'herida']"
83,Lucy,1978,Acrílico sobre papel. 74 cm x 38 cm.,arafed dibujo de una mujer con el pelo largo y un sombrero,"['cuerpo arrastrado', 'cuerpo herido', 'cuerpo humano', 'cuerpo de pie', 'mujer']"
84,Las sillas de Anacleto,1979,Ropa impregnada en acrílico sobre papel. 100 cm x 70 cm.,"hay una pintura rosa en un papel marrón con una silla
silla arafed con una pintura negra en ella sentado en la pared","['cuerpo herido', 'cuerpo arrastrado', 'materia orgánica', 'papel', 'tejido']
['tela', 'cuerpo arrastrado', 'mancha', 'tejido', 'cadáver']"
85,Tolima,1983,"Lápiz sobre fotocopia 28 cm x 21,5 cm",mapa arafed de los estados unidos con un cuadrado negro en el medio,"['papel', 'tela', 'tierra', 'espacio interior', 'piso']"
86,Calima,1984,"Acrílico sobre papel. 70 cm x 49,5 cm cada uno.","arafed dibujo en blanco y negro de un hombre con un cigarrillo
pintura de una mujer con un sombrero negro y un fondo blanco
un primer plano de un dibujo en blanco y negro de un niño
un primer plano de un dibujo blanco y negro de una mujer","['mujer', 'persona', 'cuerpo arrastrado', 'cuerpo herido', 'cuerpo transportado']
['persona', 'cadáver', 'cuerpo arrastrado', 'cuerpo herido', 'cuerpo inmóvil']
['persona', 'mujer', 'cuerpo arrastrado', 'cuerpo inmóvil', 'mancha']
['cuerpo arrastrado', 'persona', 'mujer', 'cuerpo herido', 'cadáver']"
87,Sueño plata,1995,"Frottage hecho con grafito y esmalte en un pañal directamente sobre el andén en donde duermen los niños de la calle en Cali, Colombia. 72 cm x 58 cm.",un primer plano de una obra de arte con un árbol en ella,"['tela', 'cuerpo arrastrado', 'cuerpo herido', 'cuerpo transportado', 'materia orgánica']"
88,Teresa Gómez,1990,"Esmalte sobre papel. 50 cm x 35 cm, 100 cm x 70 cm y 100 cm x 70 cm.","pintura de un bosque rojo con un árbol blanco en el medio
arafed imagen de una tinta roja salpicada en un papel blanco
hay una pintura de tinta roja en un papel blanco con una mancha roja","['mancha de sangre', 'sangrado del cuerpo', 'pared', 'cuerpo herido', 'mancha']
['mancha de sangre', 'sangrado del cuerpo', 'cuerpo herido', 'mancha', 'sangre']
['mancha de sangre', 'cuerpo herido', 'sangrado del cuerpo', 'mancha', 'cuerpo arrastrado']"
89,Retrato anónimo,1998,Carbón sobre papel. 100 cm x 70 cm.,un primer plano de un dibujo de una persona con el pelo negro,"['persona', 'cuerpo herido', 'cuerpo arrastrado', 'cuerpo inmóvil', 'cabeza']"
90,Mugre recogido sobre cartón,1998,Mugre de indigente frotado sobre cartón. 70 cm x 50 cm cada uno.,"hay una pintura marrón con un plano en medio de ella
hay un dibujo del árbol en medio del campo
imagen arafed de una pintura en blanco y negro de una persona
dibujo arafed del cuadro blanco y negro del árbol
hay un dibujo de una imagen en blanco y negro de una montaña
arafed imagen de un dibujo en blanco y negro de una espiral
dibujo arafed de una imagen en blanco y negro de un gato negro","['cuerpo herido', 'cuerpo arrastrado', 'tela', 'herida', 'mancha de sangre']
['mancha de sangre', 'mancha', 'piso', 'cuerpo arrastrado', 'cuerpo herido']
['cuerpo herido', 'tierra', 'piso', 'barro', 'mancha de sangre']
['tela', 'materia orgánica', 'cuerpo arrastrado', 'tejido', 'mancha']
['tela', 'mancha de sangre', 'herida', 'materia orgánica', 'cuerpo herido']
['tela', 'barro', 'pared', 'herida', 'cuerpo herido']
['tela', 'tejido', 'cuerpo arrastrado', 'herida', 'materia orgánica']"
91,Coche de bebé,1999,Dibujo hecho con grafito sobre papel recogido del suelo en donde una madre desplazada y viuda trabaja de manera informal vendiendo dulces en el mismo coche en donde resguarda a su bebé.,hay un dibujo de una bicicleta con un asiento y un manillar,"['cuerpo herido', 'papel', 'piso', 'pared', 'cuerpo arrastrado']"
92,Bebé,2000,Dibujo hecho con vellos púbicos y axilares sobre papel carta.,un primer plano de un dibujo de la cabeza de una persona con el pelo,"['cabeza', 'cuerpo humano', 'persona', 'cuerpo inmóvil', 'cuerpo herido']"
93,Dibujos privados,1995- 2001,"Ciento cuatro dibujos hechos con grafito sobre papel tamaño carta, encontrándome con los ojos vendados.","hay una imagen en blanco y negro de una pared con un montón de plantas diferentes
hay una imagen de una imagen en blanco y negro de una pared
dos fotografías en blanco y negro de una pared con una serie de patrones diferentes","['tela', 'materia orgánica', 'tejido', 'pared', 'cuerpo arrastrado']
['pared', 'tejido', 'materia orgánica', 'tela', 'papel']
['tejido', 'pared', 'plástico', 'espacio interior', 'materia orgánica']"
94,Cuarto imantado,"1999 - 2001
","Grafito, mugre y óleo pastel sobre papel. 28 cm x 21,8 cm",pintura de una ciudad con muchos edificios y un cielo,"['cuerpo herido', 'espacio urbano', 'papel', 'tela', 'espacio interior']"
95,Dibujo Sucio,1999 - 2003,"Mugre, sudor y excremento de indigente sobre lona. 244 x 360 cms. Aprox.","pintura de un barco con una vela en ella en una habitación
hay dos fotos de los pies de un perro con una nariz larga
pintura de una gran obra de arte en una pared en una habitación
tres pinturas en una pared en una habitación con una luz
hay una gran pintura en la pared en una habitación
hay una señal en la pared que dice est dios fuetos hechos contorcion
pintura de un caballo marrón en un campo con el fondo del cielo
pintura de una pintura marrón y blanco con un borde negro
hay un dibujo de una obra de arte en una pared
hay dos cuadros de una pintura con pintura en blanco y negro","['cuerpo arrastrado', 'cuerpo inmóvil', 'cuerpo herido', 'interacción', 'habitación vacía']
['herida', 'cuerpo arrastrado', 'cuerpo herido', 'cuerpo humano', 'lesión']
['cuerpo herido', 'cuerpo arrastrado', 'piso', 'espacio interior', 'tela']
['espacio interior', 'tejido', 'espacio urbano', 'piso', 'materia orgánica']
['espacio interior', 'piso', 'habitación vacía', 'espacio urbano', 'habitación']
['cuerpo humano', 'tejido', 'persona', 'espacio interior', 'cuerpo arrastrado']
['cuerpo arrastrado', 'tela', 'mancha', 'cuerpo herido', 'mancha de sangre']
['cuerpo herido', 'cuerpo arrastrado', 'cuerpo en el suelo', 'piso', 'mancha']
['cuerpo arrastrado', 'cuerpo herido', 'materia orgánica', 'interacción', 'espacio interior']
['tela', 'tejido', 'cuerpo arrastrado', 'materia orgánica', 'cuerpo herido']"
